Id;Pregunta;Tema;Dificultad;Tipo;A;B;C;D;Correcta
2593;¿Cuál es el resultado de 2*3+4?;Teoria de la Informació;Facil;Calculo;10;18;12;14;A
2594;¿Cuál es el MSE de predicciones [1,2,3] y reales [1,2,3]?;Teoria de la Informació;Facil;Calculo;1;2;0;3;C
2595;¿Qué hace la función AVG?;Teoria de la Informació;Facil;Calculo;Calcula el promedio;Cuenta;Suma;Máximo;A
2596;Entropía de fuente con 2 símbolos equiprobables?;Teoria de la Informació;Facil;Calculo;2 bits;0.5;0;1 bit;D
2597;¿Cuántos bits para codificar 8 símbolos?;Teoria de la Informació;Facil;Calculo;2;4;8;3;D
2598;¿Cuántos bits para codificar 8 símbolos?;Teoria de la Informació;Facil;Calculo;3;4;2;8;A
2599;¿Qué hace git add?;Teoria de la Informació;Facil;Calculo;Commit;Push;Merge;Prepara archivos para el commit;D
2600;¿Cuál es la longitud de (1,0,0)?;Teoria de la Informació;Facil;Calculo;0;raíz(2);1;2;C
2601;En binomial n=5 p=0.5, E(X)?;Teoria de la Informació;Facil;Calculo;5;2;1.25;2.5;D
2602;Mensaje 1000 bits 10% redundancia ¿información útil?;Teoria de la Informació;Media;Calculo;1000;100;900 bits;900;C
2603;¿Cuál es la información de p=1/8?;Teoria de la Informació;Media;Calculo;3 bits;1;8;0.125;D
2604;¿Cuál es la entropía de una fuente con un solo símbolo?;Teoria de la Informació;Media;Calculo;0.5;0;1;Infinito;B
2605;Probabilidad 1/4 ¿información en bits?;Teoria de la Informació;Media;Calculo;2 bits;4;2;0.25;A
2606;4 símbolos equiprobables ¿entropía máxima?;Teoria de la Informació;Media;Calculo;1;2 bits;4;2;B
2607;Alfabeto 26 símbolos equiprobables ¿entropía por símbolo?;Teoria de la Informació;Media;Calculo;log2(26);26;5;4.7 bits;A
2608;8 símbolos p=1/8 cada uno ¿entropía?;Teoria de la Informació;Media;Calculo;3 bits;8;2.83;3;A
2609;¿Cuál es la entropía de p1=1 y p2=0?;Teoria de la Informació;Media;Calculo;Infinito;0;0.5;1;B
2610;3 símbolos p=0.5 0.3 0.2 ¿entropía?;Teoria de la Informació;Media;Calculo;1;1.49 bits;2;1.5;D
2611;Ancho banda 1 Gbps 1 s ¿datos máx GB?;Teoria de la Informació;Media;Calculo;0.125;1;8;Ninguna de las anteriores;A
2612;Entropía cruzada 2.3 ¿perplejidad?;Teoria de la Informació;Media;Calculo;Aprox 10;10;4.6;2.3;A
2613;Probabilidad 1/2^n ¿información?;Teoria de la Informació;Media;Calculo;1/n;n bits;2^n;n;B
2614;¿Cuál es la entropía máxima de una fuente con 4 símbolos?;Teoria de la Informació;Dificil;Calculo;log2(4);2;4;2 bits;D
2615;Entropía fuente 3 bits/símbolo canal 6 kbps ¿símbolos/s?;Teoria de la Informació;Dificil;Calculo;3;2;2000;Ninguna de las anteriores;C
2616;¿Cuál es la entropía de p1=0.5 y p2=0.5?;Teoria de la Informació;Dificil;Calculo;2;1;0;0.5;B
2617;¿Cuál es la información mutua si X e Y son independientes?;Teoria de la Informació;Dificil;Calculo;Infinito;La entropía;1;0;D
2618;¿Cuál es la información de un suceso con p=1/4?;Teoria de la Informació;Dificil;Calculo;0.25;4 bits;1;2 bits;B
2619;¿Cuál es la entropía de 4 símbolos equiprobables?;Teoria de la Informació;Dificil;Calculo;log2(4);2 bits;4;2;B
2620;Canal 1 Mbps entropía 2 bits ¿símbolos/s máx?;Teoria de la Informació;Dificil;Calculo;Ninguna de las anteriores;500000;1000000;2;B
2621;Mensaje 100 bits redundancia 20% ¿información?;Teoria de la Informació;Dificil;Calculo;100;20;80;80 bits;D
2622;16 claves posibles ¿bits de entropía?;Teoria de la Informació;Dificil;Calculo;Ninguna de las anteriores;4;2;16;B
2623;Código 4 bits 16 símbolos ¿entropía máxima?;Teoria de la Informació;Dificil;Calculo;2;4 bits;4;16;B
2624;p=0.9 y p=0.1 dos símbolos ¿entropía?;Teoria de la Informació;Dificil;Calculo;0.9;1;0.47 bits;0.47;D
2625;¿Cuál es la entropía de una fuente con 2 símbolos equiprobables?;Teoria de la Informació;Dificil;Calculo;0.5;2;0;1;D
2626;¿Qué es divide y vencerás?;Tècniques de Disseny d'Algoritmes;Facil;Teoria;Dividir problema en subproblemas más pequeños;Voraz;Programación dinámica;Backtracking;A
2627;¿Qué es un algoritmo voraz?;Tècniques de Disseny d'Algoritmes;Facil;Teoria;Toma decisiones locales óptimas;Explora todo el espacio;Programación dinámica;Branch and bound;A
2628;¿Qué es la subestructura óptima?;Tècniques de Disseny d'Algoritmes;Facil;Teoria;Solapamiento;Recursión;Elección voraz;Solución óptima contiene subproblemas óptimos;D
2629;¿Qué es branch and bound?;Tècniques de Disseny d'Algoritmes;Facil;Teoria;Exploración con poda por cotas;Voraz;Divide y vencerás;Backtracking puro;A
2630;¿Qué es backtracking?;Tècniques de Disseny d'Algoritmes;Facil;Teoria;Exploración con vuelta atrás;Programación dinámica;Voraz;Iterativo;A
2631;¿Qué es divide y vencerás?;Tècniques de Disseny d'Algoritmes;Facil;Teoria;Backtracking;Dividir problema en subproblemas más pequeños;Voraz;Programación dinámica;B
2632;¿Qué es un algoritmo voraz?;Tècniques de Disseny d'Algoritmes;Facil;Teoria;Branch and bound;Explora todo el espacio;Programación dinámica;Toma decisiones locales óptimas;D
2633;¿Qué es divide y vencerás?;Tècniques de Disseny d'Algoritmes;Facil;Teoria;Dividir problema en subproblemas más pequeños;Backtracking;Programación dinámica;Voraz;A
2634;¿Qué es divide y vencerás? (variante);Tècniques de Disseny d'Algoritmes;Facil;Teoria;Voraz;Backtracking;Dividir problema en subproblemas más pequeños;Programación dinámica;C
2635;¿Qué es la subestructura óptima? (variante);Tècniques de Disseny d'Algoritmes;Facil;Teoria;Elección voraz;Solapamiento;Recursión;Solución óptima contiene subproblemas óptimos;D
2636;¿Qué es backtracking?;Tècniques de Disseny d'Algoritmes;Facil;Teoria;Programación dinámica;Exploración con vuelta atrás;Iterativo;Voraz;B
2637;¿Qué es un algoritmo voraz?;Tècniques de Disseny d'Algoritmes;Facil;Teoria;Programación dinámica;Branch and bound;Toma decisiones locales óptimas;Explora todo el espacio;C
2638;¿Qué es la memoización?;Tècniques de Disseny d'Algoritmes;Facil;Teoria;Recursión pura;Podar;Iteración;Almacenar resultados de subproblemas;D
2639;Complejidad de quicksort promedio?;Tècniques de Disseny d'Algoritmes;Media;Teoria;O(n log n);O(n);O(log n);O(n²);A
2640;¿Cómo se define la subestructura óptima?;Tècniques de Disseny d'Algoritmes;Media;Teoria;Solapamiento;Solución óptima contiene subproblemas óptimos;Recursión;Elección voraz;B
2641;¿Cómo se define branch and bound?;Tècniques de Disseny d'Algoritmes;Media;Teoria;Voraz;Divide y vencerás;Exploración con poda por cotas;Backtracking puro;C
2642;¿Cómo se define la memoización?;Tècniques de Disseny d'Algoritmes;Media;Teoria;Podar;Almacenar resultados de subproblemas;Recursión pura;Iteración;B
2643;¿Cómo se define la subestructura óptima?;Tècniques de Disseny d'Algoritmes;Media;Teoria;Solución óptima contiene subproblemas óptimos;Recursión;Solapamiento;Elección voraz;A
2644;¿Cómo se define branch and bound?;Tècniques de Disseny d'Algoritmes;Media;Teoria;Divide y vencerás;Exploración con poda por cotas;Voraz;Backtracking puro;B
2645;Complejidad de quicksort promedio? (concepto);Tècniques de Disseny d'Algoritmes;Media;Teoria;O(n log n);O(n);O(log n);O(n²);A
2646;¿Cómo se define la memoización?;Tècniques de Disseny d'Algoritmes;Media;Teoria;Podar;Iteración;Recursión pura;Almacenar resultados de subproblemas;D
2647;¿Qué es la subestructura óptima en programación dinámica?;Tècniques de Disseny d'Algoritmes;Media;Teoria;Recursión;Solapamiento;Solución óptima contiene subproblemas óptimos;Elección voraz;C
2648;¿Qué es la subestructura óptima en programación dinámica?;Tècniques de Disseny d'Algoritmes;Media;Teoria;Recursión;Solución óptima contiene subproblemas óptimos;Solapamiento;Elección voraz;B
2649;¿Qué es la subestructura óptima en programación dinámica? (variante);Tècniques de Disseny d'Algoritmes;Media;Teoria;Recursión;Elección voraz;Solución óptima contiene subproblemas óptimos;Solapamiento;C
2650;¿Qué es la subestructura óptima en programación dinámica?;Tècniques de Disseny d'Algoritmes;Media;Teoria;Solución óptima contiene subproblemas óptimos;Elección voraz;Solapamiento;Recursión;A
2651;Complejidad de quicksort promedio? (concepto);Tècniques de Disseny d'Algoritmes;Media;Teoria;O(n log n);O(log n);O(n²);O(n);A
2652;En el algoritmo de branch and bound para programacion entera, una cota inferior valida se obtiene de:;Tècniques de Disseny d'Algoritmes;Dificil;Teoria;Redondeo;Solucion factible;Dual;Relajacion lineal;D
2653;En el algoritmo de branch and bound para programacion entera, una cota inferior valida se obtiene de:;Tècniques de Disseny d'Algoritmes;Dificil;Teoria;Dual;Redondeo;Solucion factible;Relajacion lineal;D
2654;En el algoritmo de branch and bound para programacion entera, una cota inferior valida se obtiene de:;Tècniques de Disseny d'Algoritmes;Dificil;Teoria;Dual;Redondeo;Relajacion lineal;Solucion factible;C
2655;En el algoritmo de branch and bound para programacion entera, una cota inferior valida se obtiene de:;Tècniques de Disseny d'Algoritmes;Dificil;Teoria;Relajacion lineal;Dual;Redondeo;Solucion factible;A
2656;En el algoritmo de branch and bound para programacion entera, una cota inferior valida se obtiene de:;Tècniques de Disseny d'Algoritmes;Dificil;Teoria;Relajacion lineal;Dual;Solucion factible;Redondeo;A
2657;En el algoritmo de branch and bound para programacion entera, una cota inferior valida se obtiene de: (concepto);Tècniques de Disseny d'Algoritmes;Dificil;Teoria;Redondeo;Solucion factible;Dual;Relajacion lineal;D
2658;En branch and bound para programación entera, ¿de dónde se obtiene cota inferior?;Tècniques de Disseny d'Algoritmes;Dificil;Teoria;Redondeo;Dual;Relajación lineal;Solución factible;C
2659;En branch and bound para programación entera, ¿de dónde se obtiene cota inferior?;Tècniques de Disseny d'Algoritmes;Dificil;Teoria;Redondeo;Relajación lineal;Solución factible;Dual;B
2660;En branch and bound para programación entera, ¿de dónde se obtiene cota inferior?;Tècniques de Disseny d'Algoritmes;Dificil;Teoria;Dual;Solución factible;Redondeo;Relajación lineal;D
2661;En branch and bound para programación entera, ¿de dónde se obtiene cota inferior?;Tècniques de Disseny d'Algoritmes;Dificil;Teoria;Relajación lineal;Dual;Redondeo;Solución factible;A
2662;En branch and bound para programación entera, ¿de dónde se obtiene cota inferior?;Tècniques de Disseny d'Algoritmes;Dificil;Teoria;Redondeo;Dual;Relajación lineal;Solución factible;C
2663;En branch and bound para programación entera, ¿de dónde se obtiene cota inferior?;Tècniques de Disseny d'Algoritmes;Dificil;Teoria;Dual;Relajación lineal;Solución factible;Redondeo;B
2664;En branch and bound para programación entera, ¿de dónde se obtiene cota inferior? (variante);Tècniques de Disseny d'Algoritmes;Dificil;Teoria;Solución factible;Relajación lineal;Redondeo;Dual;B
2665;Complejidad búsqueda binaria?;Tècniques de Disseny d'Algoritmes;Facil;Calculo;O(n);O(log n);O(1);O(n²);B
2666;Temperatura 25°C ¿Kelvin?;Tècniques de Disseny d'Algoritmes;Facil;Calculo;25;298;Ninguna de las anteriores;273;B
2667;1 mol ¿cuántas partículas?;Tècniques de Disseny d'Algoritmes;Facil;Calculo;Ninguna de las anteriores;6.02e23;1;6;B
2668;1 TB ¿cuántos GB?;Tècniques de Disseny d'Algoritmes;Facil;Calculo;Ninguna de las anteriores;1024;2048;1000;B
2669;¿Cuál es A∩A?;Tècniques de Disseny d'Algoritmes;Facil;Calculo;Vacío;U;A;Complemento;C
2670;2n=46 humanos ¿cromosomas gameto?;Tècniques de Disseny d'Algoritmes;Facil;Calculo;46;Ninguna de las anteriores;92;23;D
2671;¿Qué es un algoritmo voraz?;Tècniques de Disseny d'Algoritmes;Facil;Calculo;Backtracking;Dinámico;Óptimo siempre;Elige la mejor opción local en cada paso;D
2672;Complejidad búsqueda binaria?;Tècniques de Disseny d'Algoritmes;Facil;Calculo;O(1);O(n²);O(log n);O(n);C
2673;Fibonacci F(5)?;Tècniques de Disseny d'Algoritmes;Facil;Calculo;5;3;8;13;A
2674;2^5 = ?;Tècniques de Disseny d'Algoritmes;Facil;Calculo;16;64;10;32;D
2675;Permutaciones de 5 elementos?;Tècniques de Disseny d'Algoritmes;Facil;Calculo;120;24;60;25;A
2676;Fibonacci F(5)?;Tècniques de Disseny d'Algoritmes;Facil;Calculo;3;13;8;5;D
2677;¿Cuál es 1111 en binario en decimal?;Tècniques de Disseny d'Algoritmes;Media;Calculo;14;16;10;15;D
2678;¿Qué operador combina condiciones (y)?;Tècniques de Disseny d'Algoritmes;Media;Calculo;OR;AND;NOT;XOR;B
2679;¿Cuál es lim (x²-1)/(x-1) cuando x→1?;Tècniques de Disseny d'Algoritmes;Media;Calculo;No existe;0;1;2;D
2680;¿Cuántos hilos en OpenMP con 16 núcleos?;Tècniques de Disseny d'Algoritmes;Media;Calculo;16;8;1;32;A
2681;¿Cuál es β₁ de un toro?;Tècniques de Disseny d'Algoritmes;Media;Calculo;0;3;2;1;C
2682;Presión 1 km profundidad densidad 2.5 ¿MPa?;Tècniques de Disseny d'Algoritmes;Media;Calculo;10;25;Ninguna de las anteriores;2.5;B
2683;Disco 1 TB 75% libre ¿espacio libre GB?;Tècniques de Disseny d'Algoritmes;Media;Calculo;768;Ninguna de las anteriores;750;256;A
2684;Complejidad mergesort para n elementos?;Tècniques de Disseny d'Algoritmes;Media;Calculo;O(log n);O(n²);O(n);O(n log n);D
2685;¿Cuál es el trabajo si F=10 N y d=5 m?;Tècniques de Disseny d'Algoritmes;Media;Calculo;50 J;5;2;15;A
2686;Complejidad mergesort para n elementos?;Tècniques de Disseny d'Algoritmes;Media;Calculo;O(n²);O(n log n);O(n);O(log n);B
2687;Complejidad mergesort para n elementos?;Tècniques de Disseny d'Algoritmes;Media;Calculo;O(n log n);O(n);O(log n);O(n²);A
2688;Complejidad mergesort para n elementos?;Tècniques de Disseny d'Algoritmes;Media;Calculo;O(n²);O(log n);O(n log n);O(n);C
2689;1 TFLOPS ejecutar 10^12 operaciones ¿tiempo?;Tècniques de Disseny d'Algoritmes;Dificil;Calculo;1 s;1;10;0.1;A
2690;¿Cuántos nodos en árbol binario completo altura 3?;Tècniques de Disseny d'Algoritmes;Dificil;Calculo;15;14;8;7;A
2691;¿Cuántas zonas de disponibilidad suele tener una región?;Tècniques de Disseny d'Algoritmes;Dificil;Calculo;0;2;3 o más;1;C
2692;¿Cuál es la complejidad de la mochila con programación dinámica?;Tècniques de Disseny d'Algoritmes;Dificil;Calculo;O(2^n);O(n);O(n·W);O(n²);C
2693;¿Cuál es la complejidad de la subsecuencia común más larga?;Tècniques de Disseny d'Algoritmes;Dificil;Calculo;O(2^n);O(n);O(n·m);O(n²);C
2694;¿Cuál es la complejidad de la mochila voraz por ratio?;Tècniques de Disseny d'Algoritmes;Dificil;Calculo;O(n²);O(2^n);Óptima siempre;No garantiza óptimo;D
2695;¿Cuántas combinaciones explora backtracking para n reinas?;Tècniques de Disseny d'Algoritmes;Dificil;Calculo;Exponencial;n²;n;n^n;A
2696;¿Cuántas llamadas recursivas en divide y vencerás binario?;Tècniques de Disseny d'Algoritmes;Dificil;Calculo;1;0;n;2;A
2697;En el algoritmo de branch and bound para programacion entera, una cota inferior valida se obtiene de: (concepto);Tècniques de Disseny d'Algoritmes;Dificil;Calculo;Solucion factible;Relajacion lineal;Redondeo;Dual;B
2698;En el algoritmo de branch and bound para programacion entera, una cota inferior valida se obtiene de: (concepto);Tècniques de Disseny d'Algoritmes;Dificil;Calculo;Relajacion lineal;Redondeo;Solucion factible;Dual;A
2699;¿Cuántas comparaciones en peor caso para buscar en lista ordenada de 100 elementos (binaria)?;Tècniques de Disseny d'Algoritmes;Dificil;Calculo;100;10;7;50;C
2700;¿Cuántas comparaciones en peor caso para buscar en lista ordenada de 100 elementos (binaria)?;Tècniques de Disseny d'Algoritmes;Dificil;Calculo;10;50;100;7;D
2701;¿Qué es la imagen de una función?;Visió per Computador;Facil;Teoria;Conjunto de valores que toma la función;La variable;El dominio;El codominio;A
2702;¿Qué es la normalización de imagen?;Visió per Computador;Facil;Teoria;Convolución;Escalar valores a rango estándar;Augmentation;Pooling;B
2703;¿Qué es el espacio columna?;Visió per Computador;Facil;Teoria;La imagen;Subespacio generado por las columnas;El núcleo;El fila;B
2704;¿Qué es un píxel?;Visió per Computador;Facil;Teoria;Un canal;Elemento mínimo de una imagen digital;Un filtro;Un kernel;B
2705;¿Qué es la resolución de pantalla?;Visió per Computador;Facil;Teoria;Número de píxeles (ancho x alto);Hz;Bits;Tamaño;A
2706;¿Qué es la convolución en visión?;Visió per Computador;Facil;Teoria;Activación;Ninguna de las anteriores;Operación de filtro con kernel sobre imagen;Pooling;C
2707;¿Qué es la detección de objetos?;Visió per Computador;Facil;Teoria;Filtrado;Clasificación;Segmentación;Localizar y clasificar objetos en imagen;D
2708;¿Qué es una función biyectiva?;Visió per Computador;Facil;Teoria;Constante;Solo inyectiva;Inyectiva y sobreyectiva;Solo sobreyectiva;C
2709;¿Qué es un catálogo astronómico?;Visió per Computador;Facil;Teoria;Curva;Base de datos de objetos con posiciones y propiedades;Imagen;Espectro;B
2710;¿Qué es el average pooling?;Visió per Computador;Facil;Teoria;Min pooling;Max;Toma el promedio en cada ventana;Sum pooling;C
2711;¿Qué es un píxel?;Visió per Computador;Facil;Teoria;Filtro;Elemento mínimo de una imagen;Canal;Kernel;B
2712;¿Qué es un píxel?;Visió per Computador;Facil;Teoria;Canal;Filtro;Elemento mínimo de una imagen;Kernel;C
2713;¿Qué es la resolución de una imagen?;Visió per Computador;Media;Teoria;Número de píxeles (ancho x alto);Formato;Tamaño en bytes;Profundidad de color;A
2714;¿Qué es un kernel o filtro convolucional?;Visió per Computador;Media;Teoria;Un peso;Un bias;Matriz pequeña que se desliza sobre la entrada;Una capa;C
2715;¿Qué es la distancia de edición?;Visió per Computador;Media;Teoria;Mínimo de operaciones para transformar una en otra;Levenshtein;Hamming;Similar;A
2716;¿Qué es el mapeo de texturas?;Visió per Computador;Media;Teoria;Asignar imagen 2D a superficie 3D;De color;De profundidad;De luz;A
2717;¿Qué es la función de activación?;Visió per Computador;Media;Teoria;La pérdida;El bias;Introduce no linealidad en la neurona;El peso;C
2718;¿Qué es el receptive field?;Visió per Computador;Media;Teoria;Kernel;Región de entrada que afecta una salida;Padding;Stride;B
2719;¿Qué es el mapa de características?;Visió per Computador;Media;Teoria;Pool;Kernel;Salida de una capa convolucional;Imagen;C
2720;¿Qué es la detección de bordes?;Visió per Computador;Media;Teoria;Clasificación;Segmentación;Identificar transiciones de intensidad en la imagen;Reconocimiento;C
2721;¿Qué es la programación entera?;Visió per Computador;Media;Teoria;Lineal;Continua;Variables deben ser enteras;No lineal;C
2722;¿Qué es el código de Hamming?;Visió per Computador;Media;Teoria;Código que corrige un error por bloque;Reed-Solomon;Paridad;CRC;A
2723;¿Qué es un operador lógico?;Visió per Computador;Media;Teoria;=;Conecta condiciones como and y or;==;+;B
2724;¿Qué es la programación por metas?;Visió per Computador;Media;Teoria;Múltiples objetivos con prioridades;No lineal;Entera;Lineal;A
2725;¿Qué es el descriptor de características?;Visió per Computador;Dificil;Teoria;Vector que describe región de la imagen;Filtro;Detector;Kernel;A
2726;¿Qué es el driver o controlador?;Visió per Computador;Dificil;Teoria;Firmware;Kernel;Software que permite al SO comunicarse con hardware;API;C
2727;¿Qué es el stride en convolución?;Visió per Computador;Dificil;Teoria;Pool;Kernel;Padding;Paso del kernel sobre la imagen;D
2728;¿Qué es la dimensión del cociente V/W?;Visió per Computador;Dificil;Teoria;dim(V)-dim(W);dim(V);dim(W);dim(V)+dim(W);A
2729;¿Qué es la convolución en una CNN?;Visió per Computador;Dificil;Teoria;Aplicar filtros para extraer características;Pooling;Batch norm;ReLU;A
2730;¿Qué es el pooling máximo?;Visió per Computador;Dificil;Teoria;Convolución;Suma;Promedio;Tomar máximo en ventana;D
2731;¿Qué es la detección de bordes?;Visió per Computador;Dificil;Teoria;Segmentación;Clasificación;Identificar discontinuidades en imagen;Reconocimiento;C
2732;¿Qué es el stride en convolución?;Visió per Computador;Dificil;Teoria;Paso del filtro al deslizarse;Tamaño kernel;Profundidad;Padding;A
2733;¿Qué es la convolución en una CNN? (variante);Visió per Computador;Dificil;Teoria;ReLU;Aplicar filtros para extraer características;Batch norm;Pooling;B
2734;¿Qué es el pooling máximo? (variante);Visió per Computador;Dificil;Teoria;Convolución;Suma;Tomar máximo en ventana;Promedio;C
2735;¿Qué es la convolución en una CNN?;Visió per Computador;Dificil;Teoria;ReLU;Batch norm;Pooling;Aplicar filtros para extraer características;D
2736;¿Qué es el stride en convolución?;Visió per Computador;Dificil;Teoria;Padding;Paso del filtro al deslizarse;Profundidad;Tamaño kernel;B
2737;Imagen 100×100. ¿Cuántos píxeles?;Visió per Computador;Facil;Calculo;100+100;100;100;10000;D
2738;¿Cuántas componentes tiene un color RGB?;Visió per Computador;Facil;Calculo;3;4;1;2;A
2739;Batch 32 imágenes 224x224x3 ¿tensor batch?;Visió per Computador;Facil;Calculo;(224 224 96);Ninguna de las anteriores;(32 224 224 3);32;C
2740;Imagen 640x480 ¿cuántos píxeles?;Visió per Computador;Facil;Calculo;1120;Ninguna de las anteriores;640;307200;D
2741;Resolución 1920x1080 ¿píxeles totales?;Visió per Computador;Facil;Calculo;1920;1080;Ninguna de las anteriores;2073600;D
2742;Bloque 64 bits ¿cuántos bytes?;Visió per Computador;Facil;Calculo;Ninguna de las anteriores;8;4;64;B
2743;¿Cuántas veces se ejecuta for i=1 a 5?;Visió per Computador;Facil;Calculo;1;5;4;6;B
2744;César desplazamiento 3 ¿A se convierte en?;Visió per Computador;Facil;Calculo;D;C;Ninguna de las anteriores;B;A
2745;¿Qué es un histograma?;Visió per Computador;Facil;Calculo;Diagrama circular;Gráfico de barras de frecuencias;Scatter;Gráfico de líneas;B
2746;2^10?;Visió per Computador;Facil;Calculo;512;2048;1024;256;C
2747;Combinaciones de 5 tomados de 2?;Visió per Computador;Facil;Calculo;10;25;5;20;A
2748;Imagen 100×100. ¿Cuántos píxeles?;Visió per Computador;Facil;Calculo;10000;100;200;1000;A
2749;Imagen 100×100. ¿Cuántos píxeles?;Visió per Computador;Facil;Calculo;100;1000;200;10000;D
2750;Inducción atrás último nodo payoff 2 y 4 ¿elegir?;Visió per Computador;Media;Calculo;2;Ninguna de las anteriores;3;4;D
2751;"Distancia edición ""gat"" a ""gat""?";Visió per Computador;Media;Calculo;0;1;3;Ninguna de las anteriores;A
2752;¿Cuántos componentes RGBA?;Visió per Computador;Media;Calculo;3;5;4;2;C
2753;Apilar 100 imágenes ¿ruido teórico?;Visió per Computador;Media;Calculo;10;0.1;1/10;100;C
2754;Imagen 256 niveles histograma ¿bins típicos?;Visió per Computador;Media;Calculo;Ninguna de las anteriores;64;256;128;C
2755;YOLO divide imagen 7x7 ¿cuántas celdas?;Visió per Computador;Media;Calculo;14;49;Ninguna de las anteriores;7;B
2756;Resolución 4K 3840x2160 ¿píxeles?;Visió per Computador;Media;Calculo;2160;3840;8294400;Ninguna de las anteriores;C
2757;Kernel 5x5 stride 2 entrada 10x10 ¿salida?;Visió per Computador;Media;Calculo;2;5;3;3x3;D
2758;Imagen 3 canales 100x100 ¿tensor shape?;Visió per Computador;Media;Calculo;(100 100 3);(3 100 100);Ninguna de las anteriores;30000;A
2759;¿Es -x² convexa?;Visió per Computador;Media;Calculo;No;Sí;A veces;Solo en 0;A
2760;Minimax columna: opciones 4 2 3 ¿elegir?;Visió per Computador;Media;Calculo;4;2;3;Ninguna de las anteriores;B
2761;Maximin fila: opciones 2 1 3 ¿elegir?;Visió per Computador;Media;Calculo;2;3;1;Ninguna de las anteriores;C
2762;¿Qué es la programación por metas?;Visió per Computador;Media;Calculo;Lineal;Entera;Múltiples objetivos con prioridades;No lineal;C
2763;Vocabulario 50000 padding 100 ¿tamaño vocab efectivo?;Visió per Computador;Dificil;Calculo;50100;50000;49900;100;B
2764;¿Cuántos parámetros en filtro 3x3 con 4 canales de entrada?;Visió per Computador;Dificil;Calculo;4;12;36;9;C
2765;Imagen 1024x768 RGB ¿MB sin compresión?;Visió per Computador;Dificil;Calculo;786432;2.36;3;2.25;D
2766;IoU 0.5 threshold ¿detección correcta?;Visió per Computador;Dificil;Calculo;IoU mayor 0.5;IoU=0.5;IoU menor;IoU>=0.5;D
2767;Padding same kernel 3 entrada 10 ¿salida?;Visió per Computador;Dificil;Calculo;10;8;Ninguna de las anteriores;12;A
2768;¿Cuántos parámetros en 32 filtros 3x3 con 16 canales de entrada?;Visió per Computador;Dificil;Calculo;32;Ninguna de las anteriores;144;4608;D
2769;¿Cuál es el tamaño de salida con input 10x10 kernel 3x3 stride 1 sin padding?;Visió per Computador;Dificil;Calculo;8;8x8;10x10;3x3;B
2770;¿Cuál es el tamaño de salida con input 7x7 kernel 2x2 stride 2?;Visió per Computador;Dificil;Calculo;4x4;3;3x3;3.5;C
2771;Feature map 64x64 128 canales ¿parámetros conv 3x3?;Visió per Computador;Dificil;Calculo;64;36992;128;36864;D
2772;¿Cuántas condiciones KKT en problema con restricciones?;Visió per Computador;Dificil;Calculo;2;Varias;1;3;B
2773;Corpus 100 oraciones ¿promedio palabras por oración si 850 palabras?;Visió per Computador;Dificil;Calculo;85;8.5;Ninguna de las anteriores;0.12;B
2774;"Corpus 1000 docs 100 con ""palabra"" ¿IDF?";Visió per Computador;Dificil;Calculo;100;0.1;log(10);1;C
2775;Suma 1+2+...+10?;Visió per Computador;Dificil;Calculo;45;100;50;55;D
2776;¿Qué es una transformación de traslación?;Visualització 3D;Facil;Teoria;Escala;Mover un objeto en el espacio;Reflexión;Rotación;B
2777;¿Qué es un cuerpo de revolución?;Visualització 3D;Facil;Teoria;Sólido generado al girar una curva alrededor de un eje;Un poliedro;Un cilindro;Una esfera;A
2778;¿Qué es la proyección ortográfica?;Visualització 3D;Facil;Teoria;Sin efecto de profundidad por distancia;Cónica;Perspectiva;Isométrica;A
2779;¿Qué es una transformación de rotación?;Visualització 3D;Facil;Teoria;Traslación;Girar un objeto alrededor de un eje;Escala;Proyección;B
2780;¿Qué es una transformación de escala?;Visualització 3D;Facil;Teoria;Cambiar el tamaño de un objeto;Reflexión;Rotación;Traslación;A
2781;¿Qué es la escala de un plano?;Visualització 3D;Facil;Teoria;Tamaño;Dimensión;Proporción;Relación entre dibujo y realidad;D
2782;¿Qué es el vector normal de un plano?;Visualització 3D;Facil;Teoria;Vector perpendicular al plano;La recta;El ángulo;El director;A
2783;¿Qué es la esfera de Bloch?;Visualització 3D;Facil;Teoria;Representación geométrica del estado de un qubit;Un círculo;Un plano;Un cubo;A
2784;¿Qué es el ángulo entre dos rectas?;Visualització 3D;Facil;Teoria;Entre planos;La distancia;Entre puntos;El ángulo entre sus vectores directores;D
2785;¿Qué es el método de las capas cilíndricas?;Visualització 3D;Facil;Teoria;Del volumen;Del disco;De la arandela;Integrar con cilindros concéntricos;D
2786;¿Qué es la proyección perspectiva?;Visualització 3D;Facil;Teoria;Isométrica;Objetos lejanos más pequeños;Paralela;Ortográfica;B
2787;¿Qué es el frustum de visión?;Visualització 3D;Facil;Teoria;La proyección;El viewport;El clip;Volumen visible por la cámara;D
2788;¿Qué es la perspectiva cónica?;Visualització 3D;Facil;Teoria;Paralela;Ortográfica;Axonométrica;Proyección desde punto de vista finito;D
2789;¿Qué es el coeficiente de reducción?;Visualització 3D;Media;Teoria;Factor en perspectiva para eje de profundidad;Isometría;Proyección;Escala;A
2790;¿Qué es la iluminación especular?;Visualització 3D;Media;Teoria;Ambiente;Brillos que dependen del ángulo de visión;Direccional;Difusa;B
